#id:	EC23delimiter
#START	STOP	FRAME	CONTIG	SCORE
490	2	-	EC23delimiter	-19840.77178348302393896932075	
1477	554	-	EC23delimiter	-1220050.189557036221951282774	
1664	1539	-	EC23delimiter	-10.22966648771139437055385425	
1854	1741	-	EC23delimiter	-7.380488557321602726065480824	
2210	1857	-	EC23delimiter	-659.3100166583377304285080005	
2471	2361	-	EC23delimiter	-19.24074207554458885913206350	
2592	2494	-	EC23delimiter	-0.06381791855374252119143995932	
2825	2601	-	EC23delimiter	-206.2670824385560229726235268	
3004	2825	-	EC23delimiter	-14.25442250742677436314259756	
3138	3001	-	EC23delimiter	-7.244687726817758537942115286	
3241	3122	-	EC23delimiter	-4.603897605141663438037747767	
3664	3557	-	EC23delimiter	-0.1283120158819250336997986967	
3892	3710	-	EC23delimiter	-0.09542777885994454759719811714	
4101	3952	-	EC23delimiter	-0.1066637124276346257261698002	
4334	4185	-	EC23delimiter	-55.92512728579980881805429819	
6058	4346	-	EC23delimiter	-26954933781.43890925763823319	
8042	6144	-	EC23delimiter	-851694163.8247328054520142968	
8371	8174	-	EC23delimiter	-9.682237748505690856485463613	
8610	8461	-	EC23delimiter	-8.026318355426001513932291279	
8725	8594	-	EC23delimiter	-5.681231745481799482856566337	
9063	8719	-	EC23delimiter	-128.7175588759825550829084608	
9752	9063	-	EC23delimiter	-13006.28524883948362440200875	
10038	9754	-	EC23delimiter	-94.28005165459064965328164860	
10337	10056	-	EC23delimiter	-109.6345204254113135472406990	
12390	10495	-	EC23delimiter	-3246956585146.931809919659910	
12689	12390	-	EC23delimiter	-20.87554107720459049575479821	
12867	12673	-	EC23delimiter	-91.67389073930835647359398544	
13839	12877	-	EC23delimiter	-68605449.17237451480024205891	
17147	13839	-	EC23delimiter	-58357513794965379903366.55108	
20160	17212	-	EC23delimiter	-31895033447465361208.70863913	
20882	20160	-	EC23delimiter	-1630.299544117110620585421960	
23284	20882	-	EC23delimiter	-22412387877168386.97283952235	
24021	23284	-	EC23delimiter	-706616.3320083139773147091631	
25290	24076	-	EC23delimiter	-13389958.85783206694317875549	
26290	25370	-	EC23delimiter	-5469712.043034428271249029839	
27840	26290	-	EC23delimiter	-134963318082.1668787923813222	
28051	27842	-	EC23delimiter	-36.82409351063500483781553691	
28522	28061	-	EC23delimiter	-4323.435656039771184910814051	
28632	28519	-	EC23delimiter	-10.63256044404211528285050814	
28867	28652	-	EC23delimiter	-60.15278168186163045437009576	
29786	28839	-	EC23delimiter	-17242556.68234703108043284232	
30291	29788	-	EC23delimiter	-5428.552606172793518807622942	
31532	30393	-	EC23delimiter	-676598.7846013090925194972646	
31673	31542	-	EC23delimiter	-2.741912388045715614819623616	
32816	31788	-	EC23delimiter	-45980872.53917246019957658674	
32919	32830	-	EC23delimiter	-1.323823871828027614578061086	
33452	33078	-	EC23delimiter	-849.9428054198020751676209803	
33776	33558	-	EC23delimiter	-18.70631653175083099724254892	
34592	33786	-	EC23delimiter	-3917765.626547365744950466175	
35047	34670	-	EC23delimiter	-1924.003840189555668057664634	
35394	35134	-	EC23delimiter	-82.15796855233250300667240852	
35550	35452	-	EC23delimiter	-4.264995757018455755322729114	
35666	35550	-	EC23delimiter	-10.44028493077624098518451021	
38212	35666	-	EC23delimiter	-9831156975927047.337205984773	
38356	38267	-	EC23delimiter	-3.077749580881331833872345482	
38512	38405	-	EC23delimiter	-17.79843740100073243062780315	
38746	38570	-	EC23delimiter	-22.15187194045815741691532008	
38954	38736	-	EC23delimiter	-22.55933151715142266252887858	
39648	38965	-	EC23delimiter	-268435.0199860099725049805431	
39882	39721	-	EC23delimiter	-28.09153801845631004930985129	
41870	39882	-	EC23delimiter	-379120989681427.1691564279182	
42088	41870	-	EC23delimiter	-7.023118092328031453732002960	
42220	42092	-	EC23delimiter	-6.414749685462110120845141833	
44680	42545	-	EC23delimiter	-691500801930.0590004955622769	
#id:	Test_Contigdelimiter
#START	STOP	FRAME	CONTIG	SCORE
490	2	-	Test_Contigdelimiter	-1703.110391854004122211737072	
1477	554	-	Test_Contigdelimiter	-97283.97783964717790911245470	
1664	1539	-	Test_Contigdelimiter	-9.340696380028092068242456969	
1854	1741	-	Test_Contigdelimiter	-11.22040060465814998952475179	
2210	1857	-	Test_Contigdelimiter	-205.9571223965564980429526969	
2471	2361	-	Test_Contigdelimiter	-8.146875931740163183461341035	
2592	2494	-	Test_Contigdelimiter	-0.05623570955005484403548090902	
2825	2601	-	Test_Contigdelimiter	-207.4520019569400135132278894	
3004	2825	-	Test_Contigdelimiter	-12.90538231995893801843852494	
3096	3001	-	Test_Contigdelimiter	-5.384431408356019630044098806	
3241	3122	-	Test_Contigdelimiter	-8.108579839296764996365483685	
3664	3557	-	Test_Contigdelimiter	-0.1657238865316076657141824841	
3892	3710	-	Test_Contigdelimiter	-0.1600294600978357528722787929	
4101	3952	-	Test_Contigdelimiter	-0.1245196334213810979407351958	
4334	4185	-	Test_Contigdelimiter	-147.0399028160274867207135678	
6058	4346	-	Test_Contigdelimiter	-2848510680086104.500827336049	
8042	6144	-	Test_Contigdelimiter	-2431646340403.980943511005163	
8371	8174	-	Test_Contigdelimiter	-4.944692766827763794936233853	
8610	8461	-	Test_Contigdelimiter	-28.79630758638983520392208329	
8725	8594	-	Test_Contigdelimiter	-5.304404010467247031861456429	
9063	8719	-	Test_Contigdelimiter	-187.5038572169754213864532514	
9752	9063	-	Test_Contigdelimiter	-877241.2309144640692966364467	
10038	9754	-	Test_Contigdelimiter	-563.1967111988321692847640360	
10337	10056	-	Test_Contigdelimiter	-759.0645738058018472534139183	
11058	10495	-	Test_Contigdelimiter	-138.9796808725285165435919644	
